"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Get file with incorrect file id","LMS service","Fri Dec 19 13:37:56 UTC 2025","passed","Fri Dec 19 13:37:56 UTC 2025","Validate entity","Files","",""
"","550","Create user","LMS service","Fri Dec 19 13:37:56 UTC 2025","passed","Fri Dec 19 13:37:57 UTC 2025","Create entity","Users","",""
"","298","Update courses","LMS service","Fri Dec 19 13:37:50 UTC 2025","passed","Fri Dec 19 13:37:50 UTC 2025","Update entity","Courses","",""
"","12","Get user me","LMS service","Fri Dec 19 13:37:57 UTC 2025","passed","Fri Dec 19 13:37:57 UTC 2025","Get entity","Users","",""
"","25","Get courses","LMS service","Fri Dec 19 13:37:49 UTC 2025","passed","Fri Dec 19 13:37:49 UTC 2025","Get entity","Courses","",""
"","26","Delete exercise","LMS service","Fri Dec 19 13:37:53 UTC 2025","passed","Fri Dec 19 13:37:53 UTC 2025","Delete entity","Exercises","",""
"","255","Create file","LMS service","Fri Dec 19 13:37:53 UTC 2025","passed","Fri Dec 19 13:37:54 UTC 2025","Create entity","Files","",""
"","16","Create file with empty directory","LMS service","Fri Dec 19 13:37:55 UTC 2025","passed","Fri Dec 19 13:37:55 UTC 2025","Validate entity","Files","",""
"","15","Get exercise","LMS service","Fri Dec 19 13:37:51 UTC 2025","passed","Fri Dec 19 13:37:51 UTC 2025","Get entity","Exercises","",""
"","15","Get file","LMS service","Fri Dec 19 13:37:54 UTC 2025","passed","Fri Dec 19 13:37:54 UTC 2025","Get entity","Files","",""
"","284","Login with correct email and password","LMS service","Fri Dec 19 13:37:48 UTC 2025","passed","Fri Dec 19 13:37:48 UTC 2025","Login","Authentication","",""
"","287","Create user","LMS service","Fri Dec 19 13:37:56 UTC 2025","passed","Fri Dec 19 13:37:56 UTC 2025","Create entity","Users","",""
"","15","Create courses","LMS service","Fri Dec 19 13:37:49 UTC 2025","passed","Fri Dec 19 13:37:49 UTC 2025","Create entity","Courses","",""
"","19","Delete file","LMS service","Fri Dec 19 13:37:56 UTC 2025","passed","Fri Dec 19 13:37:56 UTC 2025","Delete entity","Files","",""
"","260","Create file with empty filename","LMS service","Fri Dec 19 13:37:55 UTC 2025","passed","Fri Dec 19 13:37:55 UTC 2025","Validate entity","Files","",""
"","16","Get exercises","LMS service","Fri Dec 19 13:37:53 UTC 2025","passed","Fri Dec 19 13:37:53 UTC 2025","Get entities","Exercises","",""
"","529","Create user","LMS service","Fri Dec 19 13:37:56 UTC 2025","passed","Fri Dec 19 13:37:57 UTC 2025","Create entity","Users","",""
"","21","Create exercise","LMS service","Fri Dec 19 13:37:50 UTC 2025","passed","Fri Dec 19 13:37:50 UTC 2025","Create entity","Exercises","",""
"","24","Update exercise","LMS service","Fri Dec 19 13:37:51 UTC 2025","passed","Fri Dec 19 13:37:51 UTC 2025","Update entity","Exercises","",""
